TS,X,Y,Z
80566528,0.5373688,0.61413574,9.135268999999999
90637312,0.15353394,0.4606018,9.902939
100717568,-0.2303009,0.5373688,10.517075
110788352,0.4606018,0.61413574,9.212035999999999
120859136,0,0.5373688,9.979706
130929920,-0.6909027,0.6909027,11.438278
141000704,0.30706787,0.5373688,9.36557
151071488,-0.07676697,0.5373688,10.286774
161142272,-0.7676697,0.6909027,11.207977
171213056,0.4606018,0.4606018,9.749404999999999
181283840,-0.2303009,0.4606018,10.824142
191354624,-0.2303009,0.61413574,10.7473755
201425408,0.15353394,0.5373688,9.519104
211465728,0.07676697,0.4606018,9.902939
221566976,-0.15353394,0.61413574,10.286774
231607296,0.07676697,0.61413574,9.595871000000001
241678080,-0.15353394,0.38383484,10.286774
251748864,-0.4606018,0.61413574,10.900909
261819904,-0.07676697,0.61413574,9.672637999999999
271890688,-0.30706787,0.61413574,10.593842
281961472,-0.15353394,0.5373688,10.440308
292032256,0.30706787,0.38383484,9.595871000000001
302121472,-0.38383484,0.6909027,10.824142
312192256,0.07676697,0.4606018,10.056473
322263040,0.07676697,0.4606018,9.826172
332333824,-0.30706787,0.61413574,10.593842
342435072,0.15353394,0.5373688,9.826172
352475392,-0.07676697,0.4606018,10.056473
362576640,-0.15353394,0.5373688,10.363541
372616960,0.07676697,0.61413574,9.979706
382718464,-0.15353394,0.61413574,10.517075
392789248,-0.07676697,0.4606018,10.363541
402829312,0,0.61413574,9.902939
412900352,-0.15353394,0.4606018,10.363541
422971136,0.07676697,0.4606018,10.056473
433072384,0.07676697,0.61413574,10.210007
443112704,-0.2303009,0.5373688,10.363541
453213952,-0.07676697,0.4606018,9.979706
463284736,-0.2303009,0.61413574,10.440308
473325056,-0.07676697,0.61413574,10.363541
483395840,0,0.5373688,10.056473
493466624,-0.15353394,0.61413574,10.440308
503567872,0.07676697,0.61413574,10.056473
513608192,-0.07676697,0.6909027,10.210007
523709440,-0.07676697,0.61413574,10.286774
533780480,0.07676697,0.61413574,10.056473
543851264,0,0.6909027,10.363541
553922048,-0.07676697,0.6909027,10.13324
563992832,0,0.61413574,10.13324
574063616,-0.07676697,0.61413574,10.363541
584134400,-0.07676697,0.38383484,10.056473
594205184,-0.07676697,0.4606018,10.286774
604275968,-0.15353394,0.5373688,10.210007
614316288,0,0.5373688,10.056473
624387072,-0.07676697,0.4606018,10.210007
634457856,-0.07676697,0.5373688,10.13324
644559104,-0.07676697,0.4606018,10.210007
654629888,-0.15353394,0.5373688,10.363541
664670208,-0.15353394,0.38383484,10.363541
674740992,-0.07676697,0.5373688,10.286774
684842496,-0.07676697,0.5373688,10.13324
694882560,-0.07676697,0.5373688,10.13324
704990208,-0.07676697,0.61413574,10.210007
715030528,0,0.5373688,10.286774
725132032,-0.15353394,0.38383484,10.286774
735202816,0,0.5373688,10.210007
755313920,-0.07676697,0.61413574,10.210007
745242880,-0.15353394,0.5373688,10.286774
765384704,-0.15353394,0.4606018,10.210007
775455488,-0.07676697,0.4606018,10.210007
785556736,0,0.4606018,10.363541
795627520,-0.15353394,0.61413574,10.210007
805667840,0,0.5373688,10.13324
815738624,0,0.5373688,10.13324
825839872,0,0.5373688,10.210007
835910656,-0.07676697,0.61413574,10.286774
845981440,-0.15353394,0.61413574,10.210007
856052224,-0.30706787,0.6909027,10.286774
866092544,-0.07676697,0.5373688,10.210007
876163328,-0.07676697,0.5373688,10.13324
886264832,-0.15353394,0.61413574,10.13324
896335616,-0.15353394,0.61413574,10.210007
906375936,-0.07676697,0.5373688,10.056473
916477184,-0.07676697,0.38383484,10.13324
926517504,-0.15353394,0.61413574,10.210007
936618752,-0.07676697,0.5373688,10.286774
946659072,-0.07676697,0.5373688,10.210007
956760320,0,0.4606018,10.13324
966831104,-0.15353394,0.4606018,10.210007
976871424,-0.07676697,0.5373688,10.13324
986942208,-0.07676697,0.4606018,10.13324
997043456,0,0.5373688,10.210007
1007083776,-0.15353394,0.4606018,10.210007
1017185024,-0.07676697,0.5373688,10.210007
1027256064,0,0.61413574,10.13324
1037296128,-0.07676697,0.4606018,10.210007
1047366912,0,0.61413574,10.286774
1057437952,-0.07676697,0.5373688,10.286774
1067539200,-0.07676697,0.38383484,10.210007
1077609984,-0.07676697,0.5373688,10.286774
1087680768,-0.15353394,0.5373688,10.13324
1097751552,-0.15353394,0.5373688,10.210007
1107822336,0.07676697,0.6909027,10.363541
1117893120,-0.30706787,0.5373688,10.13324
1127933440,-0.15353394,0.5373688,10.13324
1138034688,-0.07676697,0.6909027,10.210007
1148105472,0,0.61413574,10.13324
1158176256,-0.07676697,0.5373688,10.13324
1168216576,-0.15353394,0.5373688,10.210007
1178318080,-0.15353394,0.61413574,10.210007
1188358144,-0.07676697,0.4606018,10.210007
1198459648,-0.15353394,0.4606018,10.210007
1208530432,-0.07676697,0.4606018,10.210007
1218601216,-0.2303009,0.4606018,10.210007
1228672000,-0.07676697,0.5373688,10.13324
1238712320,0,0.4606018,10.210007
