TS,X,Y,Z
80566272,-0.15353394,0.61413574,10.210007
90637056,-0.15353394,0.5373688,10.210007
100707840,-0.07676697,0.61413574,10.286774
110748160,0.07676697,0.61413574,10.363541
120818944,0.30706787,0.6909027,10.286774
130920192,0.30706787,0.9212036,10.210007
140960512,0.15353394,0.6909027,10.286774
151031296,0.15353394,0.6909027,10.286774
161132800,0.2303009,0.6909027,10.286774
171203584,-0.07676697,0.61413574,10.363541
181274368,0.07676697,0.6909027,10.056473
191345152,0,0.6909027,10.056473
201404672,-0.07676697,0.38383484,10.210007
211475456,-0.07676697,0.61413574,10.210007
221546240,0,0.6909027,10.286774
231617024,0,0.61413574,10.517075
241657344,-0.07676697,0.61413574,10.440308
251728128,0.15353394,0.6909027,10.440308
261798912,0.30706787,0.5373688,10.286774
271900160,0.2303009,0.5373688,10.286774
281970944,0.30706787,0.5373688,10.13324
292041728,0,0.5373688,10.13324
302112512,0.30706787,0.5373688,10.056473
312183296,0.07676697,0.6909027,10.13324
322254080,0.15353394,0.61413574,10.286774
332294400,0,0.5373688,10.210007
342395904,0.07676697,0.5373688,10.363541
352435968,-0.07676697,0.5373688,10.363541
362537472,-0.07676697,0.4606018,10.210007
372608256,-0.15353394,0.5373688,10.363541
382679040,0.15353394,0.61413574,10.286774
392749824,0.2303009,0.6909027,10.286774
402820608,0.30706787,0.6909027,10.13324
412891392,0.15353394,0.6909027,10.210007
422962176,0.30706787,0.6909027,10.286774
433002496,0.2303009,0.6909027,10.440308
443073280,0.15353394,0.5373688,10.517075
453144064,0.15353394,0.61413574,10.363541
463214848,0.07676697,0.6909027,10.210007
473285632,0.07676697,0.6909027,10.056473
483356416,0,0.5373688,9.979706
493427200,0,0.4606018,10.056473
503497984,0,0.61413574,10.13324
513568768,0.15353394,0.5373688,10.056473
523639808,0.2303009,0.6909027,10.210007
533741056,0.2303009,0.6909027,10.210007
543781376,0.2303009,0.61413574,10.363541
553852160,0.38383484,0.6909027,10.286774
563953408,0.30706787,0.61413574,10.286774
573993728,0.2303009,0.61413574,10.13324
584094976,0.30706787,0.5373688,10.056473
594165760,0.30706787,0.5373688,9.979706
604517632,0.30706787,0.38383484,10.13324
614588416,0.2303009,0.38383484,9.979706
624659200,0.07676697,0.38383484,10.056473
634729984,0,0.30706787,10.363541
644800768,0,0.38383484,10.210007
654841088,0,0.61413574,10.440308
664942336,0.07676697,0.5373688,10.6706085
675013376,0.07676697,0.4606018,10.440308
685053440,0.30706787,0.5373688,10.363541
695124224,0.15353394,0.38383484,10.440308
705225728,0.30706787,0.4606018,10.363541
715296512,0.2303009,0.38383484,10.286774
725367296,0.15353394,0.5373688,10.056473
735438080,0.07676697,0.5373688,10.210007
745508864,0.07676697,0.4606018,10.056473
755579648,0,0.5373688,9.902939
765650432,0.07676697,0.30706787,10.056473
775721216,0.07676697,0.30706787,10.210007
785792000,0.07676697,0.38383484,10.056473
