TS,X,Y,Z
80596736,0.61413574,5.9878235,8.751434
90667520,0.7676697,5.6039886,8.137299000000001
100738304,0.7676697,5.6039886,7.9069977
110778624,0.38383484,5.9878235,7.9837646
120849408,0.5373688,5.9110565,8.674666999999999
130920192,0.5373688,5.220154,8.751434
140991232,0.5373688,5.4504547,9.058502000000001
151062016,0.5373688,5.4504547,9.36557
161151232,0.61413574,5.296921,9.442337
171222016,0.7676697,5.143387,9.36557
181292800,0.84443665,5.220154,8.828201
191363584,0.9212036,5.4504547,8.751434
201434368,1.0747375,5.296921,7.292862
211505152,0.5373688,5.3736877,7.369629
221575936,0.30706787,5.6807556,7.369629
231677440,-0.15353394,5.6807556,8.137299000000001
241748224,-0.30706787,6.2181244,8.444366
251788544,-0.07676697,5.9878235,9.135268999999999
261889792,0.15353394,5.296921,10.210007
271960576,0.5373688,4.913086,9.749404999999999
282031360,0.61413574,4.989853,10.056473
292071680,0.6909027,5.143387,9.826172
302142464,0.9212036,5.220154,9.288803
312243712,0.84443665,5.296921,8.751434
322314496,0.7676697,5.8342896,8.521133000000001
332385280,0.15353394,6.0645905,9.058502000000001
342456064,0.6909027,5.143387,7.9069977
352526848,0.7676697,5.4504547,7.292862
362567168,0.4606018,5.6807556,6.985794
372668672,0.4606018,5.6039886,7.59993
382708736,0.4606018,5.8342896,8.060532
392810240,0.38383484,5.8342896,8.751434
402881024,-0.2303009,5.9878235,9.36557
412951808,-0.07676697,5.7575226,9.595871000000001
423022592,0.15353394,5.8342896,9.212035999999999
433093376,0.2303009,5.6807556,8.521133000000001
443164160,0.61413574,5.6807556,7.523163
453234944,0.6909027,5.6039886,7.446396
463305728,0.6909027,5.9878235,7.9837646
473346048,0.5373688,6.4484253,10.210007
483447296,0.84443665,5.296921,9.288803
493487616,0.6909027,5.3736877,9.36557
503558400,0.5373688,5.3736877,9.212035999999999
513629184,0.4606018,5.7575226,9.135268999999999
523699968,0.7676697,5.4504547,8.367599500000001
533801472,0.84443665,5.3736877,7.7534637
543872256,0.84443665,5.220154,7.446396
553943040,0.84443665,5.296921,7.446396
564111616,0.6909027,5.296921,7.9837646
574182400,0.4606018,5.6807556,8.981735
584253440,0.38383484,5.5272217,9.595871000000001
594324224,0.6909027,5.6039886,9.595871000000001
604364288,0.7676697,5.6039886,8.828201
614435328,0.9979706,5.3736877,8.751434
624536576,1.1515045,5.5272217,8.904968
634607360,1.6121063,4.989853,8.828201
644678144,1.9191742,4.529251,8.060532
654748928,1.4585724,5.06662,7.7534637
664819712,1.3818054,4.989853,7.8302307
674860032,1.3818054,5.143387,8.214066000000001
684961280,0.07676697,5.220154,9.749404999999999
695001600,-0.4606018,5.143387,11.515045
705102848,-0.84443665,4.989853,12.436249
715143168,-0.61413574,5.143387,12.359482
725213952,-0.30706787,5.4504547,11.207977
735315456,0.38383484,5.8342896,9.979706
745355520,1.6121063,3.7615814,9.058502000000001
755426304,0.30706787,5.4504547,8.2908325
765546240,-0.15353394,6.1413574,6.601959
775586560,0,6.1413574,6.5251923
785657344,0.6909027,5.6807556,6.83226
795758592,1.0747375,6.0645905,7.062561
805798912,1.1515045,5.9110565,7.8302307
815900160,0.9979706,5.7575226,8.214066000000001
825970944,0.9212036,5.7575226,9.058502000000001
836011264,0.7676697,5.3736877,9.135268999999999
846082048,0.4606018,5.6807556,9.826172
856183296,0.5373688,5.6039886,9.672637999999999
866254080,0.9212036,5.5272217,8.904968
876294400,0.9979706,5.4504547,8.597899999999999
886395904,1.1515045,5.296921,8.214066000000001
896466688,1.3050385,5.220154,7.9069977
906537472,1.2282715,5.3736877,7.8302307
916577792,0.9979706,5.143387,7.216095
926648576,0.84443665,5.296921,7.7534637
946820608,0.4606018,6.4484253,7.062561
936719360,0.38383484,5.296921,7.446396
956891392,0.9979706,5.9878235,7.292862
966962176,0.9212036,5.9878235,8.060532
977002496,0.9979706,5.9110565,8.2908325
987073280,0.9979706,5.6039886,8.751434
997144064,1.1515045,5.296921,9.519104
1007245312,0.84443665,5.3736877,8.521133000000001
1017316096,0.84443665,5.296921,8.751434
1027386880,0.84443665,5.220154,8.521133000000001
1037427200,0.7676697,5.4504547,8.367599500000001
1047528704,0.7676697,5.3736877,8.060532
1057599488,0.6909027,5.6039886,7.9069977
1067670272,0.5373688,5.4504547,8.060532
1077741056,0.84443665,5.220154,8.367599500000001
1087811840,0.6909027,5.3736877,8.674666999999999
1097882624,0.9212036,5.3736877,8.444366
1107953408,1.0747375,5.6039886,8.060532
1117993728,1.0747375,5.6807556,7.9837646
1128064512,0.9212036,5.6807556,8.060532
1138135296,0.9212036,5.8342896,8.674666999999999
1148206080,0.5373688,5.9878235,9.135268999999999
1158276864,0.38383484,6.1413574,9.442337
