TS,X,Y,Z
80566272,9.212035999999999,0.38383484,0.6909027
90606592,9.058502000000001,0.61413574,0.6909027
100717312,9.36557,0.61413574,0.6909027
110788096,9.442337,0.6909027,0.6909027
120858880,9.519104,0.84443665,0.61413574
130899200,9.595871000000001,0.84443665,0.6909027
140969984,9.442337,0.7676697,0.61413574
151040768,9.36557,0.84443665,0.84443665
161111552,9.36557,0.6909027,0.6909027
171182336,9.212035999999999,0.4606018,0.9212036
181253376,9.212035999999999,0.38383484,0.84443665
191324160,9.212035999999999,0.2303009,0.84443665
201394944,9.288803,0.07676697,0.9212036
211465728,9.212035999999999,0.15353394,0.6909027
221536512,9.212035999999999,0.2303009,0.61413574
231637760,9.36557,0.38383484,0.5373688
241708544,9.36557,0.61413574,0.38383484
251779328,9.519104,0.84443665,0.4606018
261819648,9.36557,0.9212036,0.38383484
271890432,9.212035999999999,0.9979706,0.4606018
281991680,9.36557,0.84443665,0.5373688
292062464,9.288803,0.9212036,0.7676697
302121216,9.288803,0.6909027,0.6909027
312161536,9.058502000000001,0.30706787,0.6909027
322263040,9.135268999999999,0.2303009,0.7676697
332333824,9.135268999999999,0.30706787,0.4606018
342404608,9.212035999999999,0.38383484,0.6909027
352475392,9.288803,0.5373688,0.5373688
362515712,9.36557,0.61413574,0.5373688
372616960,9.36557,0.84443665,0.38383484
382687744,9.36557,0.7676697,0.38383484
392758528,9.442337,0.9212036,0.61413574
402829312,9.442337,0.84443665,0.4606018
412900096,9.442337,0.84443665,0.61413574
422940416,9.442337,0.7676697,0.6909027
433041664,9.288803,0.84443665,0.6909027
443112448,9.442337,0.7676697,0.7676697
453152768,9.288803,0.30706787,0.6909027
463223552,9.135268999999999,0.5373688,0.5373688
473294336,9.212035999999999,0.5373688,0.61413574
483395840,9.288803,0.38383484,0.5373688
493466624,9.212035999999999,0.4606018,0.6909027
503537408,9.36557,0.61413574,0.4606018
513608192,9.288803,0.6909027,0.4606018
523678976,9.36557,0.6909027,0.38383484
533749760,9.212035999999999,0.6909027,0.6909027
543820544,9.442337,0.84443665,0.61413574
553891328,9.288803,0.6909027,0.6909027
563962112,9.442337,0.61413574,0.84443665
574032896,9.288803,0.5373688,0.84443665
584103680,9.288803,0.5373688,0.6909027
594174464,9.288803,0.5373688,0.6909027
604214784,9.288803,0.5373688,0.5373688
614316288,9.212035999999999,0.6909027,0.5373688
624387072,9.288803,0.61413574,0.5373688
634457856,9.288803,0.61413574,0.4606018
644497920,9.288803,0.6909027,0.4606018
654599424,9.212035999999999,0.7676697,0.4606018
664670208,9.288803,0.6909027,0.61413574
674710528,9.288803,0.7676697,0.4606018
684811776,9.212035999999999,0.61413574,0.61413574
694882560,9.288803,0.5373688,0.7676697
704959744,9.212035999999999,0.61413574,0.7676697
715000064,9.288803,0.61413574,0.7676697
725101312,9.36557,0.5373688,0.84443665
735172096,9.36557,0.6909027,0.6909027
745242880,9.212035999999999,0.4606018,0.6909027
755313664,9.36557,0.5373688,0.5373688
765353984,9.442337,0.6909027,0.4606018
775455232,9.212035999999999,0.6909027,0.5373688
785526016,9.36557,0.7676697,0.4606018
795566336,9.36557,0.6909027,0.4606018
805667840,9.135268999999999,0.7676697,0.5373688
815738624,9.36557,0.61413574,0.5373688
825778944,9.288803,0.6909027,0.61413574
835880192,9.442337,0.61413574,0.6909027
845950976,9.36557,0.5373688,0.6909027
855991296,9.442337,0.5373688,0.84443665
866092544,9.442337,0.5373688,0.84443665
876132864,9.36557,0.61413574,0.61413574
886234112,9.288803,0.61413574,0.4606018
896304896,9.212035999999999,0.5373688,0.5373688
906375680,9.135268999999999,0.5373688,0.4606018
916446464,9.212035999999999,0.6909027,0.5373688
926517248,9.212035999999999,0.61413574,0.38383484
936557568,9.36557,0.6909027,0.4606018
946658816,9.212035999999999,0.61413574,0.5373688
956699136,9.288803,0.61413574,0.6909027
966800640,9.442337,0.5373688,0.5373688
976840704,9.519104,0.5373688,0.6909027
986942208,9.519104,0.4606018,0.6909027
997012992,9.442337,0.4606018,0.61413574
1007083776,9.442337,0.4606018,0.61413574
1017124096,9.288803,0.5373688,0.61413574
1027225344,9.288803,0.5373688,0.5373688
1037296128,9.288803,0.6909027,0.61413574
1047366912,9.36557,0.61413574,0.38383484
1057407232,9.288803,0.61413574,0.4606018
1067508480,9.288803,0.61413574,0.38383484
1077579264,9.288803,0.6909027,0.38383484
1087619584,9.36557,0.61413574,0.5373688
1097720832,9.212035999999999,0.6909027,0.61413574
1107761152,9.212035999999999,0.61413574,0.61413574
1117862656,9.288803,0.5373688,0.4606018
1127902720,9.36557,0.61413574,0.61413574
1137973760,9.288803,0.5373688,0.6909027
1148075008,9.135268999999999,0.61413574,0.4606018
1158145792,9.36557,0.61413574,0.4606018
1168216576,9.288803,0.6909027,0.38383484
1178287360,9.288803,0.6909027,0.4606018
1188327680,9.135268999999999,0.61413574,0.61413574
1198398464,9.135268999999999,0.61413574,0.38383484
1208469248,9.135268999999999,0.61413574,0.4606018
1218540032,8.981735,0.61413574,0.4606018
1228610816,8.981735,0.4606018,0.6909027
1238712064,9.212035999999999,0.30706787,0.5373688
1248782848,9.288803,0.4606018,0.5373688
1258853888,9.288803,0.4606018,0.4606018
1268893952,9.519104,0.38383484,0.5373688
1278995456,9.442337,0.5373688,0.5373688
1289066240,9.595871000000001,0.4606018,0.61413574
1299137024,9.595871000000001,0.5373688,0.5373688
1309207808,9.442337,0.6909027,0.4606018
1319278592,9.519104,0.5373688,0.5373688
1329349376,9.595871000000001,0.7676697,0.4606018
1339420160,9.442337,0.7676697,0.30706787
1349490944,9.058502000000001,0.7676697,0.4606018
1359561728,9.058502000000001,0.61413574,0.84443665
1369602048,8.981735,0.5373688,0.6909027
1379672832,9.212035999999999,0.4606018,0.6909027
1389774080,9.135268999999999,0.30706787,0.61413574
1399844864,9.212035999999999,0.15353394,0.6909027
1409915904,9.36557,0.07676697,0.5373688
1419986688,9.212035999999999,0.2303009,0.61413574
1430057472,9.36557,0.38383484,0.38383484
1440128256,9.595871000000001,0.5373688,0.4606018
1450199040,9.442337,0.7676697,0.38383484
1460269824,9.519104,0.6909027,0.4606018
1470340608,9.288803,0.6909027,0.5373688
1480411392,9.288803,0.38383484,0.5373688
1490482176,9.442337,0.4606018,0.4606018
1500522496,9.212035999999999,0.38383484,0.4606018
1510636544,9.135268999999999,0.38383484,0.5373688
1520676864,9.135268999999999,0.4606018,0.5373688
1530747648,9.135268999999999,0.4606018,0.61413574
1540818432,8.981735,0.5373688,0.4606018
1550919680,9.519104,0.4606018,0.4606018
1560990464,9.672637999999999,0.5373688,0.4606018
1571061248,9.519104,0.38383484,0.5373688
1581132032,9.672637999999999,0.4606018,0.5373688
1591202816,9.519104,0.7676697,0.4606018
1601273600,9.519104,0.6909027,0.61413574
1621415424,9.36557,0.61413574,0.4606018
1611344640,9.595871000000001,0.6909027,0.38383484
1631455488,8.981735,0.4606018,0.4606018
1641556992,8.828201,0.38383484,0.61413574
1651627776,8.521133000000001,0.38383484,0.5373688
1661698560,8.060532,0.30706787,0.15353394
1671769344,5.8342896,1.6121063,-0.38383484
1681840128,3.9918823,1.5353394,0.5373688
1691910912,1.8424072,0.07676697,1.6888733
1701981696,1.1515045,-0.38383484,0.5373688
1712022016,0.2303009,0.15353394,0.4606018
1722123264,-0.2303009,0.38383484,0.4606018
1732194048,-0.15353394,0.2303009,0.5373688
1742264832,-0.30706787,0.2303009,0.30706787
1752335616,-0.4606018,0.38383484,0.38383484
1762406656,-0.38383484,0.2303009,0.38383484
1772477440,-0.2303009,0.38383484,0.4606018
1782548224,-0.15353394,0.38383484,0.4606018
1792619008,-0.38383484,0.30706787,0.4606018
1802689792,-0.30706787,0.30706787,0.4606018
